Close,Mkt-RF,SMB,HML,RMW,CMA,RF
-0.6368755491262812,-0.38,0.12,0.0,0.3,-0.24,0.05
-2.5650810379919786,-0.8,0.4,0.09,0.06,0.04,0.05
0.0,-0.46,-0.09,-0.1,0.45,-0.14,0.05
1.9747092925326282,0.93,-0.14,-0.54,0.15,-0.15,0.05
3.225632828113545,0.22,0.24,-0.19,0.04,-0.11,0.05
-1.2499130523191737,-0.38,0.06,0.02,0.06,-0.1,0.05
1.2657336220690096,2.15,-1.13,-0.23,-0.19,-0.36,0.05
0.0,1.89,-0.66,-1.36,0.61,-0.82,0.05
-1.2499130523191737,0.43,0.14,-0.15,0.03,0.04,0.05
-2.5315113371366382,0.16,0.11,0.09,0.0,0.08,0.05
-7.143475129107046,-0.71,0.58,0.64,-0.22,0.52,0.05
0.6991881444758485,-0.51,0.29,0.48,-0.3,0.24,0.05
1.3888725101999455,0.35,-0.55,0.72,-0.06,0.05,0.05
0.6849056463097636,-0.4,0.35,0.63,-0.16,0.28,0.05
2.7208797619837854,0.12,-0.21,0.49,-0.43,0.17,0.05
3.312253899941364,0.23,0.12,0.52,-0.36,0.3,0.05
-7.05192973916231,-1.15,0.68,1.11,-0.38,0.54,0.05
-1.3792217073910762,-1.31,-0.22,1.08,0.05,0.5,0.05
2.0977714866090125,0.51,-0.68,0.07,0.21,-0.17,0.05
3.4244208674126586,-0.45,0.37,0.41,-0.27,0.61,0.05
0.0,0.42,-0.49,-0.56,0.51,-0.67,0.05
0.6622108652318381,0.85,-0.17,-0.51,0.18,-0.26,0.05
-4.604969911166911,-0.1,-0.02,-0.42,0.35,-0.11,0.05
-0.6896769175793405,1.21,-0.82,-0.19,0.18,0.08,0.05
2.0832906227520986,0.34,0.11,-0.04,-0.2,0.14,0.05
2.7208797619837854,0.7,-0.1,-0.36,-0.03,0.09,0.05
-1.324433264826952,0.79,-0.39,-0.85,0.47,-0.7,0.05
0.0,-0.23,0.1,0.1,-0.13,0.53,0.04
0.671099125287089,-1.01,0.64,0.27,-0.11,0.32,0.04
-1.3332159822431633,0.31,-0.39,-0.16,0.21,0.09,0.04
2.7025086872487503,0.65,-0.21,-0.1,0.05,0.09,0.04
0.6578201059268096,-0.78,0.14,0.41,0.06,0.14,0.04
-1.9606430231564498,-0.48,-0.38,0.13,0.03,0.14,0.04
0.666637019260663,0.41,-0.27,-0.51,-0.01,-0.27,0.04
0.0,0.14,0.15,-0.02,-0.11,0.17,0.04
-0.6622223995951249,-0.56,0.42,-0.03,0.02,0.08,0.04
-3.333103817513694,-1.59,0.2,0.64,-0.01,0.23,0.04
2.758419391551503,0.04,0.06,0.02,-0.26,0.15,0.04
4.698921240769072,-0.36,0.38,-0.12,0.05,0.02,0.04
8.332739750650497,0.4,-0.2,-0.62,0.5,-0.25,0.04
8.284602318435951,0.63,-0.12,-0.41,-0.01,0.0,0.04
-4.372292258704391,-0.46,0.09,0.36,0.1,0.01,0.04
1.7141367113400863,-0.39,0.08,0.39,0.0,0.41,0.04
-2.2470022422762193,-0.4,0.29,0.19,-0.09,0.04,0.04
0.5746657592557769,0.21,0.02,-0.14,-0.19,-0.05,0.04
-4.571167247560126,-0.27,-0.08,0.29,0.22,0.09,0.04
1.7963295597271056,-0.57,-0.05,0.42,0.0,0.33,0.04
4.117417626905295,0.35,-0.1,-0.11,0.05,0.14,0.04
0.0,0.3,0.43,-0.2,-0.14,0.11,0.04
-0.564985093828041,0.17,-0.03,0.58,-0.52,0.3,0.04
-5.113342184264025,-2.03,0.66,1.47,-0.64,0.95,0.04
-1.1974939408815222,-0.81,0.0,0.72,-0.34,0.51,0.04
-7.879374515760662,-0.27,0.27,0.08,-0.29,0.13,0.04
4.606218885919078,0.44,0.01,0.08,-0.17,0.04,0.04
-6.29005986318556,-2.28,0.46,1.77,-0.18,0.79,0.04
-3.3555365385605995,-0.55,-0.4,0.13,-0.18,0.09,0.04
-0.6943334473289986,-1.27,0.4,0.33,-0.14,0.22,0.04
4.894761566690975,0.47,-0.38,-0.4,0.18,-0.39,0.04
6.667484873146479,0.61,0.07,-0.8,0.14,-0.32,0.04
1.8749131203533942,0.58,-0.59,-0.52,0.31,-0.38,0.04
-2.453829812992092,-0.93,0.52,0.78,-0.33,0.69,0.04
1.886604996083996,-0.62,0.28,0.57,-0.28,0.42,0.04
1.8517572820638817,0.31,-0.25,0.03,0.16,0.06,0.04
0.6060091073950558,-0.38,0.06,0.6,-0.18,0.29,0.04
-3.0118672366085897,-0.41,-0.97,0.32,0.0,0.17,0.04
-3.7264837214403768,-0.17,-0.04,0.08,0.16,0.0,0.04
0.6451602754044661,0.34,-0.43,-0.24,0.2,-0.17,0.04
3.2048887395317305,2.53,-0.81,-1.71,0.48,-1.16,0.04
1.242215329800489,1.12,-0.03,-0.74,0.2,-0.33,0.04
-1.2269736747204996,-1.79,0.95,0.8,-0.27,0.78,0.05
0.6210752113080531,0.27,-0.05,-0.16,-0.18,0.12,0.05
0.0,-0.93,0.77,0.55,-0.49,0.76,0.05
-2.4689452028683,-0.2,-0.05,0.23,-0.11,0.23,0.05
0.0,0.77,-0.12,-0.08,-0.12,0.07,0.05
-6.329803505062737,-2.16,0.3,1.6,-0.28,0.73,0.05
0.0,-0.94,-0.38,0.94,-0.26,0.65,0.05
1.3512308073234003,0.6,-0.46,-0.12,-0.06,-0.13,0.05
-1.3332159822431633,-0.14,-0.18,0.45,0.07,0.22,0.05
1.3512308073234003,-0.07,0.17,-0.08,-0.02,0.06,0.05
-1.9998297789923902,-0.45,-0.31,0.1,0.14,0.19,0.05
1.3604102604931834,-0.19,0.44,-0.36,0.06,-0.15,0.05
1.3422099397528475,0.06,-0.11,-0.43,-0.02,-0.08,0.05
-0.6622223995951249,-0.47,0.01,0.44,-0.21,0.2,0.05
-1.3332159822431633,-1.25,0.44,1.6,-0.83,0.8,0.05
-1.3512719958499453,-0.21,-0.65,0.98,-0.52,0.44,0.05
0.6849056463097636,1.39,-0.98,-0.29,-0.13,-0.45,0.05
-0.6802465989447448,-0.04,0.58,-0.3,-0.16,0.18,0.05
0.0,-0.16,0.04,0.43,-0.28,0.16,0.05
0.6849056463097636,0.24,-0.05,0.31,-0.47,0.45,0.04
0.0,-0.38,0.34,1.09,-0.39,0.73,0.04
0.0,-1.52,0.0,1.97,-0.9,1.21,0.04
-2.040775341432599,-1.08,-0.05,1.39,-0.32,0.46,0.04
-7.638333147372201,-0.68,-0.49,1.69,-0.49,0.65,0.04
-1.5036671406726931,-1.61,-0.07,2.1,-0.5,0.92,0.04
0.763297935280538,0.7,-1.38,-0.6,0.31,-0.37,0.04
-1.5150844431279786,0.5,0.15,-0.45,0.29,-0.51,0.04
0.0,-0.12,-0.04,0.29,0.02,-0.02,0.04
-6.1547686218434645,-0.8,0.06,0.55,-0.1,0.14,0.04
-0.8196433448261375,0.49,-0.65,-0.98,0.56,-0.56,0.04
-1.6527764573168846,-0.06,0.35,-0.28,0.1,0.11,0.04
-5.041700594800624,-0.16,0.14,-0.09,-0.1,0.06,0.04
7.964083453035342,1.12,-0.08,-0.95,0.31,-0.72,0.04
9.017354507899267,0.3,0.43,-0.35,-0.04,-0.26,0.04
7.518270226892976,1.87,-0.39,-1.62,0.53,-0.69,0.04
-1.3985163543391521,0.59,-0.01,-0.53,0.27,-0.12,0.04
-5.673378088774184,-0.45,0.5,0.16,-0.14,0.46,0.04
-0.7518466656304179,0.31,0.37,-0.35,-0.01,0.07,0.04
-1.5150844431279786,-0.89,0.59,0.34,-0.16,0.36,0.04
2.3075885802832374,0.13,0.04,-0.22,0.01,-0.23,0.04
1.5036082118494054,0.01,0.02,0.02,0.1,0.05,0.04
0.0,-0.23,0.21,0.09,-0.03,0.09,0.04
5.184842535976708,1.37,-0.51,-0.99,0.17,-0.29,0.05
0.0,1.06,-0.36,-1.12,0.67,-0.77,0.05
0.0,-0.31,0.33,-0.15,0.13,0.09,0.05
-0.704154826241743,0.48,-0.21,-0.11,0.26,-0.3,0.05
-1.4183213615401091,0.15,0.27,-0.22,0.24,-0.28,0.05
0.719307182628004,0.58,-0.09,-0.32,0.21,0.03,0.05
-0.7141701057610805,-0.21,0.16,0.15,-0.04,0.27,0.05
-7.913212258237912,-0.04,0.14,0.22,-0.21,0.38,0.05
0.781220819792039,-0.17,0.03,0.22,0.07,0.06,0.05
1.5502963844599815,0.39,-0.01,-0.53,0.38,-0.19,0.05
3.053185093517219,0.47,-0.04,-0.3,0.02,-0.25,0.05
-2.2220440408112663,-0.09,0.21,0.5,-0.2,0.33,0.05
-4.545147773412161,-0.93,0.6,0.68,-0.41,0.66,0.05
-0.7950230318306217,0.23,-0.02,0.22,-0.23,0.4,0.05
-1.5998625595989746,1.01,-0.48,-0.56,0.14,-0.66,0.05
0.0,1.06,-0.4,-0.75,0.46,-0.45,0.05
2.440298279210751,0.43,-0.04,-0.48,0.1,0.13,0.05
-3.1758001599156316,-0.91,0.41,0.35,0.0,0.39,0.05
-4.098152481486251,-0.61,0.61,-0.03,-0.01,0.12,0.05
0.0,-0.9,0.5,0.41,-0.32,0.36,0.05
0.8547061984656601,0.18,-0.01,-0.19,-0.05,-0.13,0.05
3.389600601973841,0.27,-0.32,0.06,-0.07,-0.05,0.05
3.2799653032618004,0.59,-0.06,-0.19,0.3,-0.34,0.05
-1.588663787523792,0.12,-0.17,0.12,0.25,-0.16,0.05
3.2270884801327337,0.83,-0.09,-0.15,0.15,-0.2,0.05
1.5623872123837312,0.69,-0.29,-0.19,0.24,-0.58,0.05
-1.5383521944167478,-0.75,0.36,0.11,0.15,0.09,0.05
-3.1262031387757627,0.79,-0.34,-0.46,0.23,-0.41,0.05
-2.4191821533873448,-0.31,0.13,0.26,-0.4,0.3,0.05
0.8264170169057117,-0.62,0.46,0.02,0.07,0.23,0.05
-4.098152481486251,-0.13,0.25,-0.04,0.09,0.03,0.05
-1.7093007504135116,-1.06,0.31,0.46,0.05,0.42,0.05
-1.7389729259782216,-0.82,0.03,0.31,-0.19,0.21,0.05
-0.8849743707002311,-0.76,0.2,0.37,-0.01,0.24,0.05
0.8928760953057946,-0.44,-0.31,0.31,0.09,0.0,0.05
0.8848510658433284,0.16,-0.35,0.17,-0.18,0.14,0.05
0.8771359582888438,-0.08,-0.4,-0.19,0.03,-0.22,0.05
0.0,-0.3,0.15,0.19,0.16,0.14,0.05
-0.8695091806051325,-1.26,0.02,0.6,-0.19,0.43,0.05
-1.7543024724182565,-0.47,0.05,0.0,0.2,-0.29,0.05
0.0,-0.38,0.78,0.01,0.03,-0.13,0.05
-1.7855344804327267,-0.38,-0.23,-0.14,0.11,-0.45,0.04
1.8179954154278866,0.31,-0.2,-0.32,-0.12,-0.24,0.04
-3.5711467145005615,-0.2,0.14,0.63,-0.09,-0.1,0.04
-2.777610911924855,-1.51,0.41,0.82,-0.39,0.61,0.04
0.0,-0.14,-0.47,0.04,0.08,-0.15,0.04
-0.9522972256802431,-0.44,0.03,0.22,0.02,-0.1,0.04
-1.9229481011925231,-0.69,-0.28,0.24,0.24,0.24,0.04
0.9803294641232974,0.37,-0.14,-0.3,0.13,-0.1,0.04
3.883198491950024,1.52,-0.23,-0.45,0.12,0.01,0.04
0.0,-1.14,0.41,0.71,-0.09,0.43,0.04
0.0,-0.38,-0.11,0.24,0.02,0.32,0.04
0.0,-0.56,0.5,0.29,-0.37,0.59,0.04
-1.8690295725130812,-1.05,0.15,0.72,-0.31,0.56,0.04
-1.9046110387257231,-0.55,-0.12,0.19,-0.13,0.1,0.04
0.0,-0.07,0.18,-0.19,0.31,0.15,0.04
3.883198491950024,0.77,-0.47,-0.71,0.35,-0.26,0.04
2.80358505212559,1.52,-0.56,-1.18,0.39,-0.61,0.04
0.0,-0.17,0.38,0.22,-0.04,0.46,0.04
-3.636133331802638,-0.59,0.32,0.05,-0.06,0.15,0.04
-0.9433547616753524,0.74,-0.53,-0.59,0.42,-0.22,0.04
-2.856933145453844,0.01,-0.29,0.59,-0.21,0.7,0.04
0.0,-0.39,0.72,0.69,-0.27,0.29,0.04
-0.9803465393153687,-0.79,0.35,0.55,-0.19,0.44,0.05
-4.9519006262419225,-0.75,0.52,0.45,-0.26,0.2,0.05
